Website,Zipcode,Lot size,Price
redfin,49068,1.63,60000
redfin,49068,3.50,35000
redfin,49068,20.00,125000
redfin,49068,1.34,225000
redfin,49068,1.44,34990
redfin,49068,13.37,72000
redfin,49068,3.38,76500
redfin,49068,10.09,300000
redfin,49068,10.09,300000
redfin,49068,10.50,37000
redfin,49068,6.78,43000
redfin,49068,3.34,20000
redfin,49068,5.09,69000
redfin,49068,12.80,245000
redfin,49068,12.80,245000
redfin,49068,9.10,70000
redfin,49068,4.20,47500
redfin,49068,12.32,75000
redfin,49068,12.32,75000
redfin,49068,6.73,53000
redfin,49224,4.00,42501
redfin,49224,4.00,42501
redfin,49068,1.25,45000
redfin,49068,1.89,190000
redfin,49068,10.42,344500
redfin,49068,7.00,190000
redfin,49068,1.01,30000
redfin,49068,2.15,44900
redfin,49068,3.50,35000
redfin,49068,6.78,43000
redfin,49068,9.80,125000
redfin,49068,79.70,105000
redfin,49068,1.01,30000
redfin,49068,2.50,37999
redfin,49068,1.32,58320
redfin,49068,1.25,45000
redfin,49068,3.87,25000
redfin,49068,2.47,260000
redfin,49068,2.94,30500
redfin,49068,14.42,73500
